Region_id,ZIP,City,Lat,Lng
308,2284,Untersiebenbrunn,48.25557,16.74525
308,2245,Velm-Götzendorf,48.46855,16.7725
308,2253,Weikendorf,48.34462,16.76646
308,2225,Zistersdorf,48.54553,16.76256
309,3972,Bad Großpertholz,48.62952,14.82607
309,3873,Brand,48.86507,15.01226
309,3861,Eggern,48.90763,15.14952
309,3862,Eisgarn,48.91575,15.1047
309,3950,Gmünd,48.77247,14.98521
309,3922,Großschönau,48.65204,14.94269
309,3860,Heidenreichstein,48.8658,15.1233
309,3962,Heinrichs bei Weitra,48.7474,14.83796
309,3942,Hirschbach,48.74321,15.12585
309,3945,Hoheneich,48.77157,15.02585
309,3973,Karlstift,48.59134,14.7504
309,3932,Kirchberg am Walde,48.72464,15.08744
309,3872,Langegg,48.83194,15.04778
309,3874,Litschau,48.9444,15.04377
309,3871,Nagelberg,48.84008,14.99477
309,3834,Pfaffenschlag bei Waidhofen an der Thaya,48.84335,15.19183
309,3944,Pürbach,48.76338,15.08973
309,3863,Reingers,48.96583,15.14851
309,3943,Schrems,48.79319,15.06946
309,3971,St. Martin,48.66388,14.83945
309,3961,Waldenstein,48.72922,15.01966
309,3970,Weitra,48.70086,14.89458
310,2014,Breitenwaida,48.51324,16.06782
310,2031,Eggendorf im Thale,48.58141,16.17335
310,2032,Enzersdorf im Thale,48.58652,16.24037
310,3704,Glaubendorf,48.5088,15.93935
310,2013,Göllersdorf,48.49302,16.12036
310,3711,Großmeiseldorf,48.53085,15.87339
310,2042,Guntersdorf,48.64929,16.04742
310,2061,Hadres,48.70973,16.13094
310,2082,Hardegg,48.85382,15.86037
310,2054,Haugsdorf,48.70706,16.0729
310,3472,Hohenwarth,48.50614,15.82988
310,2020,Hollabrunn,48.56218,16.07851
310,2022,Immendorf,48.64528,16.12832
310,2053,Jetzelsdorf,48.70719,16.05721
310,2033,Kammersdorf,48.62832,16.2385
310,3721,Limberg,48.59604,15.86468
310,2024,Mailberg,48.67373,16.18214
310,3712,Maissau,48.57263,15.82918
310,2023,Nappersdorf,48.62766,16.19093
310,2081,Niederfladnitz,48.79604,15.89532
310,2052,Pernersdorf-Pfaffendorf,48.70505,16.02967
310,2083,Pleißing,48.8036,15.84194
310,3741,Pulkau,48.7053,15.8607
310,3720,Ravelsbach,48.55178,15.85044
310,2070,Retz,48.75669,15.95234
310,2092,Riegersburg,48.85348,15.77113
